4s                   | 2S     |  1/2 |              0.     |    L12196
                     |        |      |                     |           
4p                   | 2P*    |  1/2 |         143696.     |          
                     |        |  3/2 |         153476.     |          
                     |        |      |                     |           
4d                   | 2D     |  3/2 |         374046.     |          
                     |        |  5/2 |         375377.     |          
                     |        |      |                     |           
5s                   | 2S     |  1/2 |         490087.     |          
                     |        |      |                     |           
5p                   | 2P*    |  1/2 |         546681.     |          
                     |        |  3/2 |         550444.     |          
                     |        |      |                     |           
4f                   | 2F*    |  7/2 |         562731.     |          
                     |        |  5/2 |         562765.     |          
                     |        |      |                     |           
5d                   | 2D     |  3/2 |         641076.     |          
                     |        |  5/2 |         641617.     |          
                     |        |      |                     |           
3d9.(2D).4s2         | 2D     |  5/2 |          657102     |          
                     |        |  3/2 |          667276     |          
                     |        |      |                     |           
6s                   | 2S     |  1/2 |         692518.     |          
                     |        |      |                     |           
6p                   | 2P*    |  1/2 |         720594.     |          
                     |        |  3/2 |         722471.     |          
                     |        |      |                     |           
5f                   | 2F*    |  5/2 |         724999.     |          
                     |        |  7/2 |         725004.     |          
                     |        |      |                     |           
5g                   | 2G     |  7/2 |         733091.     |          
                     |        |  9/2 |         733093.     |          
                     |        |      |                     |           
6d                   | 2D     |  3/2 |         768919.     |          
                     |        |  5/2 |         769247.     |          
                     |        |      |                     |           
3d9.(2D).4s.4p.(3P*) | 4P*    |  3/2 |          782852     |          
                     |        |      |                     |           
3d9.(2D).4s.4p.(3P*) | 4F*    |  3/2 |          788563     |          
                     |        |      |                     |           
3d9.(2D).4s.4p.(3P*) | 4P*    |  1/2 |          789316     |          
                     |        |      |                     |           
7s                   | 2S     |  1/2 |          796490     |          
                     |        |      |                     |           
3d9.(2D).4s.4p.(3P*) | 2D*    |  3/2 |          797213     |          
                     |        |      |                     |           
3d9.(2D).4s.4p.(3P*) | 2P*    |  3/2 |          801134     |          
                     |        |  1/2 |          801545     |          
                     |        |      |                     |           
3d9.(2D).4s.4p.(3P*) | 4D*    |  1/2 |          803335     |          
                     |        |  3/2 |          807161     |          
                     |        |      |                     |           
7p                   | 2P*    |  1/2 |         812476.     |          
                     |        |  3/2 |         813550.     |          
                     |        |      |                     |           
6f                   | 2F*    |  7/2 |         813930.     |          
                     |        |  5/2 |         813961.     |          
                     |        |      |                     |           
6g                   | 2G     |  9/2 |         819068.     |          
                     |        |  7/2 |         819068.     |          
                     |        |      |                     |           
6h                   | 2H*    |  9/2 |         819478.     |          
                     |        | 11/2 |         819478.     |          
                     |        |      |                     |           
3d9.(2D).4s.4p.(1P*) | 2P*    |  3/2 |          837191     |          
                     |        |      |                     |           
7d                   | 2D     |  3/2 |         840561.     |          
                     |        |  5/2 |         840751.     |          
                     |        |      |                     |           
3d9.(2D).4s.4p.(1P*) | 2P*    |  1/2 |          846181     |          
                     |        |      |                     |           
8s                   | 2S     |  1/2 |         857165.     |          
                     |        |      |                     |           
8p                   | 2P*    |  1/2 |         867081.     |          
                     |        |      |                     |           
