2p6.3s2              | 1S     |   0 |                0     |     L7185
                     |        |     |                      |           
3s.3p                | 3P*    |   0 |           249081     |          
                     |        |   1 |           256060     |          
                     |        |   2 |           273414     |          
                     |        |     |                      |           
3s.3p                | 1P*    |   1 |           376323     |          
                     |        |     |                      |           
3p2                  | 3P     |   0 |           591131     |          
                     |        |     |                      |           
3p2                  | 1D     |   2 |           598840     |          
                     |        |     |                      |           
3p2                  | 3P     |   1 |           603814     |          
                     |        |   2 |           624984     |          
                     |        |     |                      |           
3p2                  | 1S     |   0 |           706420     |          
                     |        |     |                      |           
3s.3d                | 3D     |   1 |           724731     |          
                     |        |   2 |           726039     |          
                     |        |   3 |           728136     |          
                     |        |     |                      |           
3s.3d                | 1D     |   2 |           812929     |          
                     |        |     |                      |           
3p.3d                | 3F*    |   2 |           990769     |          
                     |        |   3 |          1002876     |          
                     |        |     |                      |           
3p.3d                | 1D*    |   2 |          1014316     |          
                     |        |     |                      |           
3p.3d                | 3F*    |   4 |          1017157     |          
                     |        |     |                      |           
3p.3d                | 3D*    |   1 |          1048776     |          
                     |        |     |                      |           
3p.3d                | 3P*    |   2 |          1050383     |          
                     |        |     |                      |           
3p.3d                | 3D*    |   3 |          1063667     |          
                     |        |     |                      |           
3p.3d                | 3P*    |   0 |          1065190     |          
                     |        |   1 |          1065511     |          
                     |        |     |                      |           
3p.3d                | 3D*    |   2 |          1065955     |          
                     |        |     |                      |           
3p.3d                | 1F*    |   3 |          1135167     |          
                     |        |     |                      |           
3p.3d                | 1P*    |   1 |          1148160     |          
                     |        |     |                      |           
3d2                  | 3F     |   2 |          1463403     |          
                     |        |   3 |          1465589     |          
                     |        |   4 |          1468205     |          
                     |        |     |                      |           
3d2                  | 1D     |   2 |          1498090     |          
                     |        |     |                      |           
3d2                  | 3P     |   0 |          1501101     |          
                     |        |   1 |          1502075     |          
                     |        |     |                      |           
3d2                  | 1G     |   4 |          1503577     |          
                     |        |     |                      |           
3d2                  | 3P     |   2 |          1504024     |          
                     |        |     |                      |           
3d2                  | 1S     |   0 |          1588324     |          
                     |        |     |                      |           
3s.4s                | 3S     |   1 |          1969500     |          
                     |        |     |                      |           
3s.4p                | 1P*    |   1 |          2106020     |          
                     |        |     |                      |           
3s.4d                | 3D     |   1 |          2256900     |          
                     |        |   2 |          2257800     |          
                     |        |   3 |          2259200     |          
                     |        |     |                      |           
3s.4d                | 1D     |   2 |          2261600     |          
                     |        |     |                      |           
3p.4s                | 3P*    |   2 |          2302100     |          
                     |        |     |                      |           
3s.4f                | 3F*    |   2 |          2340900     |          
                     |        |   3 |          2341100     |          
                     |        |   4 |          2341500     |          
                     |        |     |                      |           
3s.4f                | 1F*    |   3 |          2356800     |          
                     |        |     |                      |           
3p.4p                | 3P     |   1 |          2422900     |          
                     |        |     |                      |           
3p.4p                | 3D     |   3 |          2427100     |          
                     |        |     |                      |           
3p.4d                | 1F*    |   3 |          2549000     |          
                     |        |     |                      |           
3p.4d                | 3D*    |   1 |          2554200     |          
                     |        |   2 |          2564300     |          
                     |        |   3 |          2576600     |          
                     |        |     |                      |           
3p.4f                | 3G     |   3 |          2629400     |          
                     |        |   4 |          2636900     |          
                     |        |     |                      |           
3p.4f                | 1F     |   3 |          2637100     |          
                     |        |     |                      |           
3p.4f                | 3F     |   2 |          2641000     |          
                     |        |   4 |          2655900     |          
                     |        |     |                      |           
3p.4f                | 3G     |   5 |          2656400     |          
                     |        |     |                      |           
3p.4f                | 3D     |   3 |          2668200     |          
                     |        |   2 |          2669800     |          
                     |        |   1 |          2674900     |          
                     |        |     |                      |           
3p.4f                | 1G     |   4 |          2684700     |          
                     |        |     |                      |           
3p.4f                | 1D     |   2 |          2691800?    |          
                     |        |     |                      |           
3s.5s                | 3S     |   1 |          2848100?    |          
                     |        |     |                      |           
3s.5d                | 3D     |   1 |          2946700     |          
                     |        |   2 |          2946800     |          
                     |        |   3 |          2947100     |          
                     |        |     |                      |           
3s.5f                | 3F*    |   4 |          2987900     |          
