3s2.3p3           | 4S*    | 3/2 |                 0     |     L7185
                  |        |     |                       |           
3s2.3p3           | 2D*    | 3/2 |             37103     |          
                  |        | 5/2 |             39450     |          
                  |        |     |                       |           
3s2.3p3           | 2P*    | 1/2 |             63935     |          
                  |        | 3/2 |             67157     |          
                  |        |     |                       |           
3s.3p4            | 4P     | 5/2 |            233890     |          
                  |        | 3/2 |            239987     |          
                  |        | 1/2 |            242922     |          
                  |        |     |                       |           
3s.3p4            | 2D     | 3/2 |            289637     |          
                  |        | 5/2 |            290606     |          
                  |        |     |                       |           
3s.3p4            | 2P     | 3/2 |            333412     |          
                  |        | 1/2 |            337370     |          
                  |        |     |                       |           
3s.3p4            | 2S     | 1/2 |            348760     |          
                  |        |     |                       |           
3s2.3p2.(3P).3d   | 2P     | 3/2 |            432830     |          
                  |        | 1/2 |            440870     |          
                  |        |     |                       |           
3s2.3p2.(3P).3d   | 4P     | 5/2 |            442010     |          
                  |        | 3/2 |            444960     |          
                  |        | 1/2 |            446710     |          
                  |        |     |                       |           
3s2.3p2.(1D).3d   | 2D     | 5/2 |            476680     |          
                  |        | 3/2 |            476820     |          
                  |        |     |                       |           
3s2.3p2.(1D).3d   | 2P     | 1/2 |            491650     |          
                  |        | 3/2 |            496430     |          
                  |        |     |                       |           
3s2.3p2.(3P).3d   | 2F     | 7/2 |            500880     |          
                  |        |     |                       |           
3s2.3p2.(3P).3d   | 2D     | 5/2 |            519280     |          
                  |        | 3/2 |            520820     |          
                  |        |     |                       |           
3s2.3p2.(3P).4s   | 4P     | 1/2 |            928500     |          
                  |        | 3/2 |            933400     |          
                  |        | 5/2 |            939100     |          
                  |        |     |                       |           
3s2.3p2.(3P).4s   | 2P     | 1/2 |            943300     |          
                  |        | 3/2 |            949800     |          
                  |        |     |                       |           
3s2.3p2.(1D).4s   | 2D     | 5/2 |            967000     |          
                  |        | 3/2 |            967800     |          
