5d10                 | 1S          |   0 |               0.00     |    L11702
                     |             |     |                        |           
5d9.6s               | 3D          |   3 |           15039.572    |    L11702
                     |             |   2 |           17640.616    |    L11702
                     |             |   1 |           27765.758    |    L11702
                     |             |     |                        |           
5d9.6s               | 1D          |   2 |           29621.249    |    L11702
                     |             |     |                        |           
5d8.6s2              | 3F          |   4 |           40478.750    |    L11702
                     |             |     |                        |           
5d8.6s2              |             |   2 |           48510.894    |    L11702
                     |             |     |                        |           
5d8.6s2              | 3F          |   3 |           52176.508    |    L11702
                     |             |     |                        |           
5d8.6s2              |             |   0 |           55436.6      |     L3466
                     |             |     |                        |           
5d8.6s2              |             |   2 |           58191.630    |    L11702
                     |             |     |                        |           
5d8.6s2              | 3P          |   0 |           58550.226    |    L11702
                     |             |     |                        |           
5d8.6s2              |             |   1 |           59101.0      |     L3466
                     |             |     |                        |           
5d8.6s2              |             |   4 |           61384.5      |     L3466
                     |             |     |                        |           
5d8.6s2              | 3P          |   1 |           61749.419    |    L11702
                     |             |     |                        |           
5d9.6p               | (5/2,1/2)*  |   2 |           63053.318    |    L11702
                     |             |   3 |           65003.594    |    L11702
                     |             |     |                        |           
5d8.6s2              |             |   2 |           68145.1      |     L3466
                     |             |     |                        |           
5d9.6p               | (5/2,3/2)*  |   4 |           72495.129    |    L11702
                     |             |   2 |           73178.291    |    L11702
                     |             |     |                        |           
5d9.6p               | (3/2,1/2)*  |   1 |           73403.839    |    L11702
                     |             |     |                        |           
5d9.6p               | (5/2,3/2)*  |   3 |           74791.477    |    L11702
                     |             |     |                        |           
5d9.6p               | (3/2,1/2)*  |   2 |           76659.700    |    L11702
                     |             |     |                        |           
5d9.6p               | (5/2,3/2)*  |   1 |           81659.828    |    L11702
                     |             |     |                        |           
5d9.6p               | (3/2,3/2)*  |   0 |           82613.781    |    L11702
                     |             |   3 |           85700.201    |    L11702
                     |             |   1 |           85707.570    |    L11702
                     |             |   2 |           86565.667    |    L11702
                     |             |     |                        |           
5d8.6s2              |             |   0 |           91114.4      |     L3466
                     |             |     |                        |           
5d9.7s               | (5/2,1/2)   |   3 |          108172.952    |    L11702
                     |             |   2 |          108631.442    |    L11702
                     |             |     |                        |           
5d9.6d               | (5/2,3/2)   |   1 |          116050.55     |    L11702
                     |             |   4 |          116946.327    |    L11702
                     |             |   2 |          117065.629    |    L11702
                     |             |     |                        |           
5d9.(2D<5/2>).6d     |             |   1 |          117296.9      |     L3466
                     |             |     |                        |           
5d9.6d               | (5/2,3/2)   |   3 |          117511.998    |    L11702
                     |             |     |                        |           
5d9.(2D<5/2>).6d     |             |   3 |          117982.8      |     L3466
                     |             |     |                        |           
5d9.(2D<5/2>).6d     |             |   2 |          118028.9      |     L3466
                     |             |     |                        |           
5d9.(2D<5/2>).6d     |             |   4 |          118167.6      |     L3466
                     |             |     |                        |           
5d9.7p               | (5/2,1/2)*  |   2 |          119446.50     |    L11702
                     |             |   3 |          120257.120    |    L11702
                     |             |     |                        |           
5d9.7s               | (3/2,1/2)   |   1 |          120822.927    |    L11702
                     |             |     |                        |           
5d8.6s.6p            |             |   2 |          120952.0      |     L3466
                     |             |     |                        |           
5d9.7s               | (3/2,1/2)   |   2 |          121118.779    |    L11702
                     |             |     |                        |           
5d9.7p               | (5/2,3/2)*  |   2 |          121784.2      |     L3466
                     |             |   1 |          121862.0      |     L3466
                     |             |   4 |          123061.8      |     L3466
                     |             |   3 |          123343.8      |     L3466
