Aij
1/s 1/s 1/s 1/s 1/s 1/s 1/s 1/s 
0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
6.3199998e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
2.1950000e-04 1.7100000e-07 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
7.6399997e-02 1.4740001e-01 7.1599998e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
1.9000000e-01 1.1650000e-01 1.6050000e-01 2.4299999e-07 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
5.1000000e+07 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
5.1200000e+07 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
5.1300000e+07 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 
*** ATOM sulfur
*** SPECTRUM 2
*** SOURCE3 Tayal & Zatsarinny 2010, ApJ 188, 32
*** NOTE3 A-values for levels 1-5
*** SOURCE4 Podobedova, Kelleher, & Wiese 2009, JPCRD, Vol. 3
*** NOTE4 A-values for levels 6-8
