0   0   3.699     4.000    4.301    4.477
1   2   5.240e-1 5.648e-1 6.007e-1 6.116e-1
1   3   2.469e-1 2.766e-1 3.106e-1 3.264e-1 
2   3   1.210    1.330    1.451    1.499
1   4   2.347e-1 2.693e-1 3.094e-1 3.256e-1
2   4   7.067e-1 8.108e-1 9.313e-1 9.802e-1
3   4   1.188    1.363    1.564    1.645
4   5   4.544e-1 5.661e-1 6.230e-1 6.219e-1
2   5   1.228e-1 1.223e-1 1.294e-1 1.332e-1
3   5   2.045e-1 2.046e-1 2.170e-1 2.235e-1
1   5   4.094e-2 4.069e-2 4.299e-2 4.424e-2
1   6   0.113    0.1239   0.1346   0.1373
2   6   0.339    0.3717   0.4038   0.4119
3   6   0.565    0.6195   0.6730   0.6865
*** O III collision strength data
*** SOURCE1  'Palay, E. et al. 2011, MNRAS (arXiv:1204.0812v1)'
*** NOTE1    'All collision strengths from levels up to 5'
*** SOURCE2 'Aggarwal and Keenan 1999, ApJS 123, 311'
*** NOTE2 'Collision strengths of 6-1, 6-2, 6-3'
