0  0   3.699       3.778       3.903       4.000       4.204       4.301 
1  3   0.54439998  0.5456      0.54799998  0.55000001  0.5564      0.56040001
1  2   0.81660002  0.81840003  0.82200003  0.82499999  0.83459997  0.84060001
1  5   0.13510001  0.1358      0.1371      0.1382      0.14139999  0.1435    
1  4   0.2701      0.27149999  0.27410001  0.27649999  0.28290001  0.28690001
2  3   1.22000003  1.20799994  1.18599999  1.16799998  1.12800002  1.11199999
3  5   0.322       0.3238      0.3276      0.3321      0.34760001  0.35839999
3  4   0.47799999  0.4806      0.48640001  0.49309999  0.51599997  0.53200001
2  5   0.34599999  0.3479      0.35210001  0.35690001  0.37349999  0.38510001
2  4   0.85600001  0.86070001  0.87099999  0.88300002  0.92409998  0.95270002
4  5   0.28        0.28200001  0.28400001  0.287       0.29499999  0.30000001
1  6   1.14199996  1.15600002  1.18400002  1.21099997  1.29149997  1.34350002
1  7   0.76130003  0.77069998  0.78930002  0.80729997  0.861       0.89569998
1  8   0.38069999  0.38530001  0.39469999  0.40369999  0.4305      0.44780001
2  6   0.  0.  0.  0.  0.  0.
2  7   0.  0.  0.  0.  0.  0.
2  8   0.  0.  0.  0.  0.  0.
3  6   0.  0.  0.  0.  0.  0.
3  7   0.  0.  0.  0.  0.  0.
3  8   0.  0.  0.  0.  0.  0.
4  6   0.  0.  0.  0.  0.  0.
4  7   0.  0.  0.  0.  0.  0.
4  8   0.  0.  0.  0.  0.  0.
5  6   0.  0.  0.  0.  0.  0.
5  7   0.  0.  0.  0.  0.  0.
5  8   0.  0.  0.  0.  0.  0.
6  7   0.  0.  0.  0.  0.  0.
6  8   0.  0.  0.  0.  0.  0.
7  8   0.  0.  0.  0.  0.  0.
*** OII data
*** GS 'p3'
*** SOURCE1  'Pradhan, 1976, MNRAS, 177, 31'
*** NOTE1    'Collision strengths for transitions 3-2 and 5-4'
*** SOURCE2  'McLaughlin & Bell, 1993, ApJ, 408, 753'
*** NOTE2    'All other collision strengths'
